object,category,type,path,m_score,recognition
typewriter,office_supplies,nonliving,thesis_stim/typewriter_exemplar1.jpg,0.410714,old
pager,electronics,nonliving,thesis_stim/pager_exemplar1.jpg,0.333333,old
toy wagon,toys,nonliving,thesis_stim/toy_wagon_exemplar1.jpg,0.693878,old
hammock,furniture,nonliving,thesis_stim/hammock_exemplar1.jpg,0.510204,old
rockinghorse,toys,nonliving,thesis_stim/rockinghorse_exemplar1.jpg,0.613636,old
fox,mammal,living,thesis_stim/fox_exemplar1.jpg,0.66,old
joystick,electronics,nonliving,thesis_stim/joystick_exemplar1.jpg,0.636364,old
saltshaker,kitchen_items,nonliving,thesis_stim/saltshaker_exemplar1.jpg,0.666667,old
safe,tools,nonliving,thesis_stim/safe_exemplar1.jpg,0.571429,old
mixer,appliances,nonliving,thesis_stim/mixer_exemplar1.jpg,0.6,old
cross,decor,nonliving,thesis_stim/cross_exemplar1.jpg,0.790698,old
moose,mammal,living,thesis_stim/moose_exemplar1.jpg,0.666667,old
pushpin,office_supplies,nonliving,thesis_stim/pushpin_exemplar1.jpg,0.625,old
sidewalk,street_items,nonliving,thesis_stim/sidewalk_exemplar1.jpg,0.8,old
frame,household_items,nonliving,thesis_stim/frame_exemplar1.jpg,0.464286,old
gamepad,electronics,nonliving,thesis_stim/gamepad_exemplar1.jpg,0.470588,old
jukebox,music_inst,nonliving,thesis_stim/jukebox_exemplar1.jpg,0.54386,old
rollerblade,sports,nonliving,thesis_stim/rollerblade_exemplar1.jpg,0.457143,old
spoon,kitchen_items,nonliving,thesis_stim/spoon_exemplar1.jpg,0.482759,old
cooler,kitchen_items,nonliving,thesis_stim/cooler_exemplar1.jpg,0.2,old
loofah,tools,nonliving,thesis_stim/loofah_exemplar1.jpg,0.4,old
shuttlecock,sports,nonliving,thesis_stim/shuttlecock_exemplar1.jpg,0.388889,old
cookie tin,kitchen_items,nonliving,thesis_stim/cookie_tin_exemplar1.jpg,0.269231,old
waterjug,kitchen_items,nonliving,thesis_stim/waterjug_exemplar1.jpg,0.48,old
trash can,street_items,nonliving,thesis_stim/trash_can_exemplar1.jpg,0.66,old
washboard,tools,nonliving,thesis_stim/washboard_exemplar1.jpg,0.367347,old
mussel,sea,living,thesis_stim/mussel_exemplar1.jpg,0.933333,old
flamingo,birds,living,thesis_stim/flamingo_exemplar1.jpg,0.857143,old
baking pan,kitchen_items,nonliving,thesis_stim/baking_pan_exemplar1.jpg,0.4,old
bassoon,music_inst,nonliving,thesis_stim/bassoon_exemplar1.jpg,0.642857,old
wristwatch,clothing,nonliving,thesis_stim/wristwatch_exemplar1.jpg,0.436364,old
pinata,decor,nonliving,thesis_stim/pinata_exemplar1.jpg,0.6,old
dresser,furniture,nonliving,thesis_stim/dresser_exemplar1.jpg,0.655172,old
snowflake,decor,nonliving,thesis_stim/snowflake_exemplar1.jpg,0.698113,old
sandpaper,tools,nonliving,thesis_stim/sandpaper_exemplar1.jpg,0.509091,old
disk,electronics,nonliving,thesis_stim/disk_exemplar1.jpg,0.68,old
fire station,building,nonliving,thesis_stim/fire_station_exemplar1.jpg,0.485714,old
trumpet,music_inst,nonliving,thesis_stim/trumpet_exemplar1.jpg,0.545455,old
ice bucket,kitchen_items,nonliving,thesis_stim/ice_bucket_exemplar1.jpg,0.2,old
lei,clothing,nonliving,thesis_stim/lei_exemplar1.jpg,0.827586,old
coffeemaker,appliances,nonliving,thesis_stim/coffeemaker_exemplar1.jpg,0.551724,old
nun,toys,nonliving,thesis_stim/nun_exemplar1.jpg,0.772727,old
umbrella,household_items,nonliving,thesis_stim/umbrella_exemplar1.jpg,0.340909,old
factory,building,nonliving,thesis_stim/factory_exemplar1.jpg,0.408163,old
chest,furniture,nonliving,thesis_stim/chest_exemplar1.jpg,0.48,old
computer mouse,electronics,nonliving,thesis_stim/computer_mouse_exemplar1.jpg,0.578947,old
chainsaw,appliances,nonliving,thesis_stim/chainsaw_exemplar1.jpg,0.527273,old
dining chair,furniture,nonliving,thesis_stim/dining_chair_exemplar1.jpg,0.297872,old
couch,furniture,nonliving,thesis_stim/couch_exemplar1.jpg,0.595745,old
eagle,birds,living,thesis_stim/eagle_exemplar1.jpg,0.78,old
gas can,tools,nonliving,thesis_stim/gas_can_exemplar1.jpg,0.711111,old
firewood,household_items,nonliving,thesis_stim/firewood_exemplar1.jpg,0.489796,old
bathtub,furniture,nonliving,thesis_stim/bathtub_exemplar1.jpg,0.527778,old
telephone,electronics,nonliving,thesis_stim/telephone_exemplar1.jpg,0.526316,old
hairbrush,household_items,nonliving,thesis_stim/hairbrush_exemplar1.jpg,0.488889,old
hunting bow,sports,nonliving,thesis_stim/hunting_bow_exemplar1.jpg,0.607143,old
cowbell,music_inst,nonliving,thesis_stim/cowbell_exemplar1.jpg,0.644444,old
swingset,street_items,nonliving,thesis_stim/swingset_exemplar1.jpg,0.44186,old
mallet,tools,nonliving,thesis_stim/mallet_exemplar1.jpg,0.571429,old
scoop,household_items,nonliving,thesis_stim/scoop_exemplar1.jpg,0.586207,old
washing machine,appliances,nonliving,thesis_stim/washing_machine_exemplar1.jpg,0.48,old
crow,birds,living,thesis_stim/crow_exemplar1.jpg,0.857143,old
covered wagon,vehicle,nonliving,thesis_stim/covered_wagon_exemplar1.jpg,0.37931,old
pagoda,building,nonliving,thesis_stim/pagoda_exemplar1.jpg,0.590909,old
stapler,office_supplies,nonliving,thesis_stim/stapler_exemplar1.jpg,0.257143,old
fishtank,furniture,nonliving,thesis_stim/fishtank_exemplar1.jpg,0.82,old
lantern,tools,nonliving,thesis_stim/lantern_exemplar1.jpg,0.555556,old
soda machine,street_items,nonliving,thesis_stim/soda_machine_exemplar1.jpg,0.535714,old
chess bishop,toys,nonliving,thesis_stim/chess_bishop_exemplar1.jpg,0.642857,old
magnifying glass,office_supplies,nonliving,thesis_stim/magnifyingglass_exemplar1.jpg,0.466666667,old
flask,kitchen_items,nonliving,thesis_stim/flask_exemplar1.jpg,0.6,old
dice,sports,nonliving,thesis_stim/dice_exemplar1.jpg,0.56,old
toy phone,toys,nonliving,thesis_stim/toy_phone_exemplar1.jpg,0.603774,old
snail,insect,living,thesis_stim/snail_exemplar1.jpg,0.816327,old
merry-go-round,building,nonliving,thesis_stim/merry-go-round_exemplar1.jpg,0.938776,old
record player,music_inst,nonliving,thesis_stim/record_player_exemplar1.jpg,0.508772,old
toothbrush,household_items,nonliving,thesis_stim/toothbrush_exemplar1.jpg,0.517857,old
packing tape,office_supplies,nonliving,thesis_stim/packing_tape_exemplar1.jpg,0.361111,old
dryer,appliances,nonliving,thesis_stim/dryer_exemplar1.jpg,0.58,old
yoyo,toys,nonliving,thesis_stim/yoyo_exemplar1.jpg,0.58,old
gorilla,mammal,living,thesis_stim/gorilla_exemplar1.jpg,0.886792,old
toy apple,toys,nonliving,thesis_stim/toy_apple_exemplar1.jpg,0.551724,old
calculator,electronics,nonliving,thesis_stim/calculator_exemplar1.jpg,0.28,old
computer monitor,electronics,nonliving,thesis_stim/computer_monitor_exemplar1.jpg,0.448276,old
beagle,mammal,living,thesis_stim/beagle_exemplar1.jpg,0.888889,old
fairy statue,decor,nonliving,thesis_stim/fairy_statue_exemplar1.jpg,0.785714,old
toy soldier,toys,nonliving,thesis_stim/toy_soldier_exemplar1.jpg,0.672727,old
harmonica,music_inst,nonliving,thesis_stim/harmonica_exemplar1.jpg,0.733333,old
cockroach,insect,living,thesis_stim/cockroach_exemplar1.jpg,0.694444,old
radio,electronics,nonliving,thesis_stim/radio_exemplar1.jpg,0.522727,old
teddybear,toys,nonliving,thesis_stim/teddybear_exemplar1.jpg,0.688889,old
sarcophagus,decor,nonliving,thesis_stim/sarcophagus_exemplar1.jpg,0.689655,old
snowglobe,decor,nonliving,thesis_stim/snowglobe_exemplar1.jpg,0.42,old
record,music_inst,nonliving,thesis_stim/record_exemplar1.jpg,0.257143,old
crossbow,sports,nonliving,thesis_stim/crossbow_exemplar1.jpg,0.46,old
flag,street_items,nonliving,thesis_stim/flag_exemplar1.jpg,0.38,old
hanger,household_items,nonliving,thesis_stim/hanger_exemplar1.jpg,0.428571,old
tennis ball,sports,nonliving,thesis_stim/tennis_ball_exemplar1.jpg,0.781818,old
key,household_items,nonliving,thesis_stim/key_exemplar1.jpg,0.46,old
binoculars,tools,nonliving,thesis_stim/binoculars_exemplar1.jpg,0.448276,old
scotch tape,office_supplies,nonliving,thesis_stim/scotch_tape_exemplar1.jpg,0.413793,old
beanie,clothing,nonliving,thesis_stim/beanie_exemplar1.jpg,0.407407,old
hut,building,nonliving,thesis_stim/hut_exemplar1.jpg,0.52,old
crayfish,sea,living,thesis_stim/crayfish_exemplar1.jpg,0.82,old
bongo drum,music_inst,nonliving,thesis_stim/bongo_drum_exemplar1.jpg,0.416667,old
arch,building,nonliving,thesis_stim/arch_exemplar1.jpg,0.6,old
lighthouse,building,nonliving,thesis_stim/lighthouse_exemplar1.jpg,0.55102,old
construction helmet,clothing,nonliving,thesis_stim/construction_helmet_exemplar1.jpg,0.4,old
building,building,nonliving,thesis_stim/building_exemplar1.jpg,0.388889,old
pearl necklace,clothing,nonliving,thesis_stim/pearl_necklace_exemplar1.jpg,0.36,old
drum set,music_inst,nonliving,thesis_stim/drum_set_exemplar1.jpg,0.583333,old
metronome,music_inst,nonliving,thesis_stim/metronome_exemplar1.jpg,0.571429,old
loudspeaker,electronics,nonliving,thesis_stim/loudspeaker_exemplar1.jpg,0.48,old
wetsuit,clothing,nonliving,thesis_stim/wetsuit_exemplar1.jpg,0.326531,old
oven,appliances,nonliving,thesis_stim/oven_exemplar1.jpg,0.527778,old
mailbox,street_items,nonliving,thesis_stim/mailbox_exemplar1.jpg,0.333333,old
barn,building,nonliving,thesis_stim/barn_exemplar1.jpg,0.5,old
bicycle,vehicle,nonliving,thesis_stim/bicycle_exemplar1.jpg,0.444444,old
refrigerator,appliances,nonliving,thesis_stim/refrigerator_exemplar1.jpg,0.607143,old
shelf,furniture,nonliving,thesis_stim/shelf_exemplar1.jpg,0.477273,old
badminton racquet,sports,nonliving,thesis_stim/badminton_racquet_exemplar1.jpg,0.530612,old
clarinet,music_inst,nonliving,thesis_stim/clarinet_exemplar1.jpg,0.734694,old
ice skate,clothing,nonliving,thesis_stim/ice_skate_exemplar1.jpg,0.392857,old
tour bus,vehicle,nonliving,thesis_stim/tour_bus_exemplar1.jpg,0.755556,old
clown,toys,nonliving,thesis_stim/clown_exemplar1.jpg,0.909091,old
thimble,household_items,nonliving,thesis_stim/thimble_exemplar1.jpg,0.642857,old
tanktop,clothing,nonliving,thesis_stim/tanktop_exemplar1.jpg,0.592593,old
scale,household_items,nonliving,thesis_stim/scale_exemplar1.jpg,0.309524,old
compass,tools,nonliving,thesis_stim/compass_exemplar1.jpg,0.275862,old
porcupine,mammal,living,thesis_stim/porcupine_exemplar1.jpg,0.714286,old
belt,clothing,nonliving,thesis_stim/belt_exemplar1.jpg,0.653061,old
dinosaur,toys,nonliving,thesis_stim/dinosaur_exemplar1.jpg,0.758621,old
q-tip,household_items,nonliving,thesis_stim/q-tip_exemplar1.jpg,0.321429,old
dinner knife,kitchen_items,nonliving,thesis_stim/dinner_knife_exemplar1.jpg,0.285714,old
harp,music_inst,nonliving,thesis_stim/harp_exemplar1.jpg,0.6,old
galleon,vehicle,nonliving,thesis_stim/galleon_exemplar1.jpg,0.571429,old
cap,clothing,nonliving,thesis_stim/cap_exemplar1.jpg,0.408163,old
recycling bin,street_items,nonliving,thesis_stim/recycling_bin_exemplar1.jpg,0.583333,old
coin,household_items,nonliving,thesis_stim/coin_exemplar1.jpg,0.571429,old
